Frequency,Expression,Reading,Meaning,MeaningCount,Exclude1,Exclude2,GenerateKR2JP,GenerateJP2KR,Image,IMM_Sentence,IMM_Image,IMM_Audio,IMM_SourceMedia
149,かける,,"1. 걸다. 2. (懸ける) 늘어뜨리다, 달다, 치다. 3. (자물쇠·단추 등을) 채우다, 잠그다.",,,,,,,,,,
153,はず,,"1. 당연한 일∙도리∙이치를 나타내는 말((활의 오늬와 현(弦)이 잘 맞는 것에서)). 2. …할 리, 당연히 …할 것. 3. …할 예정[것임], …할 터임.",,,,,,,,,,
154,子,,"1. 자식, 양자, 의붓자식. (↔親) 2. (동물의) 새끼, (물고기 등의) 알. (↔親) 3. (명사나 동사 연용형에 붙어) 그 일을 하는 사람이나 사물을 나타냄.",,,,,,,,,,
158,意味,,"1. 의미, 뜻. 2. 말의 뜻. 3. (표현이나 행동의) 의도, 까닭. (=わけ)",,,,,,,,,,
162,気持ち,,"1. 마음(가짐), 기분, 감정, 심정. 2. 마음의 표현을 겸손하게 이르는 말. 3. (부사적으로) 조금, 약간(만). (=ちょっと)",,,,,,,,,,
165,ことになる,,"1. 손해되는 일. 2. …하게 되다. 3. 될 수 있으면, 가능하다면.",,,,,,,,,,
169,日,,"1. (본디 陽로도). 2. 해, 태양. 3. 햇빛, (햇)볕.",,,,,,,,,,
170,年,,"1. 해. 2. 나이, 연령. 3. 노령, 노년, 고령.",,,,,,,,,,
172,心配,,"1. 걱정, 근심, 염려, 심려. (=気がかり) 2. 배려, 주선. (=心づかい) 3. 사소한 일에 고민하며 걱정하는 성질. (=苦労性)",,,,,,,,,,
173,心,,"1. 마음; 또, 느낌; 기분. 2. (본디, 意로도) 할 마음; 의사. 3. 생각, 의향.",,,,,,,,,,
177,外,,"1. 밖, 바깥. 2. (공간적·추상적으로) 설정된 범위의 외부. 3. 외면, 표면, 겉.",,,,,,,,,,
178,間,,"1. 사이. 2. (공간적인) 간격, 틈새. 3. (시간적인) 간격, 틈, 참.",,,,,,,,,,
181,後,,"1. 뒤. 2. (위치적으로) 뒤쪽, 후방. 3. 앞으로, 아직.",,,,,,,,,,
182,様子,,"1. 모양. 2. (사물의) 상태, 상황, 정세. 3. (사람의) 모습, 용자(容姿), 용태.",,,,,,,,,,
184,口,,"1. 입. 2. 입과 비슷한 것: 아가리. 3. 말, 입(말을 비유적으로 이르는 말).",,,,,,,,,,
186,名前,,"1. 이름. 2. 성명(姓名), 사람의 성(姓)과 이름을 아울러 부르는 말. 3. 사람의 성(姓) 다음에 붙여 다른 사람과 구별하여 부르는 말.",,,,,,,,,,
192,問題,,"1. 문제. 2. (시험 등) 해답을 요구하는 물음. 3. 토론·연구 등의 대상이 되는 사항, 해결해야 할 사항, 과제.",,,,,,,,,,
193,理由,,"1. 이유. 2. 까닭, 근거. (=わけ) 3. 구실, 핑계, 변명. (=いいわけ, 口実)",,,,,,,,,,
196,以上,,"1. 이상. 2. (수량이) …보다 많음, (정도·단계가) …보다 위임. 3. 이제까지 (말한 것).",,,,,,,,,,
200,絶対,,"1. 절대. 2. 비교·대립의 대상이 없는 것. 3. 무조건, 무슨 일이 있어도.",,,,,,,,,,
202,今度,,"1. 이번, 금번, 최근. (=この度) 2. 이다음. (=このつぎ) 3. 약속한 기한을 못 믿는다는 뜻. (=紺屋のあさって)",,,,,,,,,,
203,最後,,"1. 최후, 마지막, 맨 뒤(의 것). (=最終), (↔最初) 2. (‘…たら最後’·‘…が最後’의 꼴로) …하는 것을 최후로, 일단 …했다 (하기만) 하면. 3. 임종, 죽음, 최후. (=最期)",,,,,,,,,,
204,最初,,"1. 최초, 맨 처음. (↔最後, 最終) 2. 最初 さいしょ . (↔최종) 3. 처음이자 마지막.",,,,,,,,,,
205,存在,,"1. 존재. (=ザイン) 2. 存在 そんざい , 有 ゆう . 3. (철학에서) 현존재((자기의 존재에 대하여 관심을 갖는 주체로서의 존재자)).",,,,,,,,,,
215,体,,"1. 몸. 2. 육체, 신체. 3. 몸통, 몸체, 체격.",,,,,,,,,,
217,そのまま,,1. 그대로. 2. 변함없이 그 모양임. (=あるがまま) 3. 꼭 닮음. (=そっくり),,,,,,,,,,
220,あり,,"1. ‘有る’의 문어형: 있다, 존재하다. 2. 곤충 개미. 3. 알리",,,,,,,,,,
221,無理,,"1. 무리. 2. 도리가 아님, 이유가 없음. 3. 억지, 강제.",,,,,,,,,,
222,ご,,"1. 오. 2. 다섯. (=いつ, いつつ) 3. 다섯(번)째, 제5위.",,,,,,,,,,
226,普通,,"1. 보통, 대개, 일반적으로. (=たいてい) 2. 보통, 예사로움. (=なみ, 通常, 一般的), (↔特別, 特殊) 3. 보통, 대개.",,,,,,,,,,
232,夜,,"1. 밤, 야간. (=夜), (↔昼) 2. 밤. (=よる) 3. 한 달의 …번째의 밤.",,,,,,,,,,
233,感じ,,"1. 느낌. 2. 감각. 3. 인상, 감(感).",,,,,,,,,,
234,気,,"1. 기운. 2. 기, 기력. 3. 기염(氣焰), 의기.",,,,,,,,,,
238,別に,,"1. (뒤에 부정(否定)을 수반해서) 별로, 특별히. (=とりたてて) 2. 따로. 3. 구별, 차이.",,,,,,,,,,
248,以外,,"1. 이외, 그 밖, 그것을 제외한 다른 것. 2. 일정한 범위의 바깥쪽. (↔以内) 3. 以外 いがい . (↔이내(以內))",,,,,,,,,,
249,下,,"1. 아래, 밑. 2. 하부, 밑부분. 3. (명사 앞에 붙여서) 미리 준비함의 뜻: 예비의.",,,,,,,,,,
251,足,,1. 발. 2. (사람·동물의) 발. 3. (발)걸음.,,,,,,,,,,
252,説明,,"1. 설명. 2. 설명문, 해설문. 3. 설명적.",,,,,,,,,,
254,女性,,"1. 여성. 2. 여자. (=女, 婦人, 女子), (↔男性) 3. 문법 (남성·중성에 대한) 성(性)의 하나.",,,,,,,,,,
260,ことができる,,"1. 할 수 있는 일. 2. 드라마 너를 위해서 할 수 있는 것; 1992, FujiTV 3. ビジネス・経済 credibility",,,,,,,,,,
265,状況,,"1. 상황, 정황. 2. 고립 상황((어떤 개인이 혼자 있을 때의 마음의 상황)). (↔集団状況) 3. 한계[극한] 상황.",,,,,,,,,,
266,関係,,"1. 관계. 2. 서로 관련이 있음; 또, 그런 관련. 3. 영향을 미침.",,,,,,,,,,
267,ことがある,,"1. (‘…したことがある'의 꼴로) …한 적[경험]이 있다. 2. (‘…することがある'의 꼴로) …하는 경우가 있다. 3. 일이 있을 때, 어려운 때.",,,,,,,,,,
269,先,,"1. 끝. 2. 앞, 선두. 3. 앞쪽, 전방.",,,,,,,,,,
